image,count_a,count_b,matched,coverage,mean_iou,count_delta
Component_132/Component_132_with_bg_4.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_132/Component_132_with_bg_5.png,1.0000,1.0000,1.0000,1.0000,0.9448,0.0000
Component_133/Component_133_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_133/Component_133_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_133/Component_133_with_bg_4.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_133/Component_133_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_134/Component_134_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_134/Component_134_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_134/Component_134_with_bg_4.png,1.0000,2.0000,0.0000,0.0000,0.0000,1.0000
Component_134/Component_134_with_bg_5.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_135/Component_135_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_135/Component_135_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_135/Component_135_with_bg_4.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_135/Component_135_with_bg_5.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_136/Component_136_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_136/Component_136_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_136/Component_136_with_bg_4.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_136/Component_136_with_bg_5.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_137/Component_137_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_137/Component_137_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_137/Component_137_with_bg_5.png,1.0000,1.0000,1.0000,1.0000,0.8527,0.0000
Component_138/Component_138_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_138/Component_138_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_138/Component_138_with_bg_5.png,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Component_139/Component_139_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_139/Component_139_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_139/Component_139_with_bg_5.png,1.0000,2.0000,1.0000,0.5000,0.6758,1.0000
Component_14/Component_14_with_bg_0.png,0.0000,2.0000,0.0000,0.0000,0.0000,2.0000
Component_14/Component_14_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_14/Component_14_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_14/Component_14_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_140/Component_140_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_140/Component_140_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_140/Component_140_with_bg_5.png,1.0000,1.0000,1.0000,1.0000,0.7983,0.0000
Component_141/Component_141_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_141/Component_141_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_142/Component_142_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_142/Component_142_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_143/Component_143_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_143/Component_143_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_144/Component_144_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_144/Component_144_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_145/Component_145_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_145/Component_145_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_146/Component_146_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_146/Component_146_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_147/Component_147_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_147/Component_147_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_148/Component_148_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_148/Component_148_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_149/Component_149_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_149/Component_149_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_15/Component_15_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_15/Component_15_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_15/Component_15_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_15/Component_15_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_150/Component_150_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_150/Component_150_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_151/Component_151_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_151/Component_151_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_152/Component_152_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_152/Component_152_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_153/Component_153_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_153/Component_153_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_154/Component_154_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_154/Component_154_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_155/Component_155_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_155/Component_155_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_156/Component_156_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_156/Component_156_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_156/Component_156_with_bg_5.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_157/Component_157_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_157/Component_157_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_157/Component_157_with_bg_5.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_158/Component_158_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_158/Component_158_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_159/Component_159_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_159/Component_159_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_159/Component_159_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_159/Component_159_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_16/Component_16_with_bg_0.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_16/Component_16_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_16/Component_16_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_16/Component_16_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_160/Component_160_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_160/Component_160_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_161/Component_161_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_161/Component_161_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_162/Component_162_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_162/Component_162_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_163/Component_163_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_163/Component_163_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_164/Component_164_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_164/Component_164_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_165/Component_165_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
