image,pixel_agreement,miou_proxy
Component_32/Component_32_with_bg_3.png,1.0000,1.0000
Component_32/Component_32_with_bg_4.png,1.0000,1.0000
Component_32/Component_32_with_bg_5.png,1.0000,1.0000
Component_33/Component_33_with_bg_0.png,1.0000,1.0000
Component_33/Component_33_with_bg_1.png,1.0000,1.0000
Component_33/Component_33_with_bg_2.png,1.0000,1.0000
Component_33/Component_33_with_bg_3.png,1.0000,0.5000
Component_33/Component_33_with_bg_4.png,1.0000,1.0000
Component_33/Component_33_with_bg_5.png,0.9491,0.3164
Component_34/Component_34_with_bg_3.png,0.9965,0.4983
Component_34/Component_34_with_bg_4.png,0.9581,0.4791
Component_34/Component_34_with_bg_5.png,0.9973,0.4987
Component_35/Component_35_with_bg_2.png,0.9999,0.5000
Component_35/Component_35_with_bg_3.png,1.0000,1.0000
Component_35/Component_35_with_bg_4.png,0.9808,0.4904
Component_35/Component_35_with_bg_5.png,0.9984,0.4992
Component_36/Component_36_with_bg_3.png,1.0000,1.0000
Component_36/Component_36_with_bg_4.png,0.9998,0.4999
Component_36/Component_36_with_bg_5.png,0.9400,0.4700
Component_37/Component_37_with_bg_3.png,1.0000,1.0000
Component_37/Component_37_with_bg_4.png,0.9998,0.4999
Component_37/Component_37_with_bg_5.png,0.9459,0.3217
Component_38/Component_38_with_bg_0.png,0.9276,0.4638
Component_38/Component_38_with_bg_1.png,0.9758,0.3253
Component_38/Component_38_with_bg_2.png,1.0000,1.0000
Component_38/Component_38_with_bg_3.png,1.0000,1.0000
Component_38/Component_38_with_bg_4.png,1.0000,1.0000
Component_38/Component_38_with_bg_5.png,0.9967,0.4984
Component_39/Component_39_with_bg_0.png,0.9945,0.4973
Component_39/Component_39_with_bg_3.png,0.9961,0.7042
Component_39/Component_39_with_bg_4.png,1.0000,1.0000
Component_39/Component_39_with_bg_5.png,0.9713,0.2428
Component_4/Component_4_with_bg_0.png,0.9662,0.4831
Component_4/Component_4_with_bg_1.png,0.9939,0.3313
Component_4/Component_4_with_bg_3.png,1.0000,1.0000
Component_4/Component_4_with_bg_4.png,1.0000,1.0000
Component_4/Component_4_with_bg_5.png,0.9860,0.4930
Component_40/Component_40_with_bg_0.png,0.9968,0.5333
